id,title,readyInMinutes,servings,recipe,image_path
1,spaghetti bolognese,30,4,"1. Cook spaghetti in a large pot of salted boiling water according to package instructions. Drain and set aside. 2. In a skillet, heat olive oil and sauté diced onions, garlic, and carrots until soft. 3. Add ground beef and cook until browned. 4. Stir in tomato paste, canned tomatoes, and season with salt, pepper, and dried oregano. 5. Let the sauce simmer for 10-15 minutes, stirring occasionally. 6. Combine the cooked spaghetti with the sauce, mix well, and serve hot with grated Parmesan cheese.",static/spaghetti bolognese.jpg
2,Chicken Alfredo,25,4,"1. Cook fettuccine pasta in a large pot of salted water according to package instructions. Drain and set aside. 2. In a large skillet, melt butter over medium heat. Add minced garlic and sauté for 1 minute. 3. Add heavy cream, bring to a simmer, and cook for 5 minutes. 4. Stir in Parmesan cheese, salt, and pepper, and cook until the sauce thickens. 5. Add cooked chicken strips and toss with the pasta. 6. Serve with extra Parmesan and chopped parsley.",static/Chicken-Alfredo-above.jpg
3,Vegetable Stir Fry,20,3,"1. Chop a variety of vegetables such as bell peppers, carrots, broccoli, and onions. 2. In a wok or large skillet, heat oil over high heat. Add the vegetables and stir-fry for 3-4 minutes until they are tender but still crisp. 3. In a small bowl, mix soy sauce, sesame oil, and a touch of honey. 4. Pour the sauce over the vegetables and toss well. 5. Serve with steamed rice or noodles.",static/VegetableStirFry_10.jpg
4,Beef Tacos,15,4,"1. In a skillet, cook ground beef over medium heat, breaking it apart with a spoon. 2. Stir in taco seasoning, salt, and pepper, then cook for an additional 5 minutes. 3. Warm taco shells in the oven or microwave. 4. Assemble tacos by filling the shells with the cooked beef, shredded lettuce, diced tomatoes, cheese, and sour cream. 5. Serve with a side of salsa and guacamole.",static/Beef-Tacos-55.jpg
5,Grilled Cheese Sandwich,10,2,"1. Butter two slices of bread on one side each. 2. Place one slice of cheese between the unbuttered sides of the bread. 3. Heat a skillet over medium heat and place the sandwich in the pan, buttered side down. 4. Grill the sandwich for 2-3 minutes on each side until golden brown and the cheese is melted. 5. Serve with a side of tomato soup or a pickle.",static/The-Almost-Perfect-Grilled-Cheese-Sandwich-featured.jpg
6,Margherita Pizza,40,2,"1. Prepare pizza dough by following the recipe or using store-bought dough. 2. Preheat your oven to 475°F (245°C). 3. Roll out the dough on a floured surface to your desired thickness. 4. Spread a thin layer of tomato sauce over the dough. 5. Add fresh mozzarella cheese, basil leaves, and a drizzle of olive oil. 6. Bake for 10-12 minutes, or until the crust is golden and the cheese is melted. 7. Serve hot with extra basil leaves on top.",static/margheritta.jpg
7,Tomato Basil Soup,30,4,"1. In a large pot, sauté onions and garlic in olive oil until softened. 2. Add canned tomatoes, vegetable broth, salt, pepper, and a pinch of sugar. 3. Bring to a boil, then reduce heat and let simmer for 15 minutes. 4. Add fresh basil and use an immersion blender to blend the soup until smooth. 5. Serve with a swirl of cream and extra basil.",static/tomato-basil-soup-3.jpg
8,Classic Caesar Salad,15,2,"1. Toss chopped romaine lettuce with Caesar dressing in a large bowl. 2. Add croutons and grated Parmesan cheese. 3. Toss again until everything is well coated. 4. Serve immediately with a sprinkle of extra cheese and a squeeze of lemon.",static/Grilled-Chicken-Caesar-Salad-11.jpg
9,Garlic Butter Shrimp,20,4,"1. In a large skillet, melt butter over medium heat. 2. Add minced garlic and cook until fragrant, about 1 minute. 3. Add shrimp to the skillet and cook for 2-3 minutes per side until they turn pink and opaque. 4. Season with salt, pepper, and fresh parsley. 5. Serve with a side of rice or pasta.",static/Garlic-Butter-Shrimp-recipe.jpg
10,Beef Stroganoff,40,4,"1. In a skillet, cook beef strips in olive oil until browned. Remove from the skillet and set aside. 2. In the same skillet, sauté onions and garlic until softened. 3. Add sliced mushrooms and cook until tender. 4. Stir in flour, then add beef broth and simmer until the sauce thickens. 5. Return the beef to the skillet and stir in sour cream. 6. Serve over egg noodles or rice.",static/traditional-beef-stroganoff-featured.jpg
11,Chili Con Carne,45,6,"1. In a large pot, brown ground beef over medium heat. 2. Add diced onions, garlic, and bell peppers, and cook until softened. 3. Stir in chili powder, cumin, and paprika, then add canned beans, diced tomatoes, and beef broth. 4. Simmer for 30 minutes to allow the flavors to meld. 5. Serve hot with shredded cheese, sour cream, and cornbread.",static/Chilli Con Carne.jpg
12,Pancakes,15,4,"1. In a large bowl, whisk together flour, baking powder, salt, and sugar. 2. In another bowl, beat eggs and mix with milk and melted butter. 3. Pour the wet ingredients into the dry ingredients and stir until just combined. 4. Heat a skillet over medium heat and pour a scoop of batter to form each pancake. 5. Cook until bubbles form on the surface, then flip and cook until golden brown. 6. Serve with maple syrup, butter, and fresh berries.",static/pancakes.jpg
13,Vegetable Curry,35,4,"1. In a large pot, sauté onions, garlic, and ginger in oil until fragrant. 2. Add chopped vegetables such as cauliflower, carrots, and potatoes, and cook for 5 minutes. 3. Stir in curry powder, turmeric, and garam masala. 4. Add coconut milk and vegetable broth, and bring to a simmer. 5. Cook for 20 minutes, or until the vegetables are tender. 6. Serve with steamed rice or naan bread.",static/vegetable-curry-recipe.jpg
14,Lemon Roasted Chicken,50,4,"1. Preheat the oven to 400°F (200°C). 2. Season a whole chicken with salt, pepper, and lemon zest. 3. Stuff the chicken cavity with lemon halves, garlic cloves, and fresh rosemary. 4. Roast in the oven for 45-50 minutes, or until the chicken reaches an internal temperature of 165°F (74°C). 5. Serve with roasted vegetables or a side salad.",static/lemon roasted chicken.jpg
15,Greek Salad,10,2,"1. Chop tomatoes, cucumbers, red onions, and bell peppers. 2. Add olives, feta cheese, and a drizzle of olive oil. 3. Toss gently and season with oregano, salt, and pepper. 4. Serve immediately as a side dish or light lunch.",static/Greeks Salad.jpg
16,Sushi Rolls,60,4,"1. Cook sushi rice according to package instructions, then allow it to cool to room temperature. 2. Place a bamboo sushi mat on a flat surface and lay a sheet of nori (seaweed) shiny-side down. 3. Spread a thin layer of rice evenly on the nori, leaving a 1-inch border at the top. 4. Add your choice of fillings, such as cucumber, avocado, and raw fish (like tuna or salmon), in a line across the center of the rice. 5. Carefully roll the sushi from the bottom using the bamboo mat, applying gentle pressure to form a tight roll. 6. Wet the top edge of the nori with water to seal the roll. 7. Slice the roll into bite-sized pieces with a sharp knife. Serve with soy sauce, wasabi, and pickled ginger.",static/sushi.jpg
17,Mac and Cheese,20,4,"1. Cook elbow macaroni in a large pot of salted water until al dente, then drain and set aside. 2. In a separate saucepan, melt butter over medium heat. Stir in flour and cook for 1 minute to form a roux. 3. Gradually add milk while whisking constantly to avoid lumps, then cook until the mixture thickens. 4. Stir in shredded cheddar cheese and cook until melted. 5. Season with salt, pepper, and a pinch of paprika or mustard powder. 6. Toss the cooked pasta with the cheese sauce, and serve hot.",static/MacandCheese.jpg
18,Chicken Parmesan,40,4,"1. Preheat the oven to 375°F (190°C). 2. Season chicken breasts with salt and pepper, then dredge them in flour, dip in beaten eggs, and coat with breadcrumbs. 3. In a skillet, heat olive oil over medium heat and fry the chicken until golden brown on both sides. 4. Transfer the chicken to a baking dish, top each piece with marinara sauce and shredded mozzarella cheese. 5. Bake for 20 minutes, or until the chicken is cooked through and the cheese is melted and bubbly. 6. Serve with spaghetti or a side salad.",static/chickenparmesian.jpg
19,BBQ Ribs,90,4,"1. Preheat the oven to 300°F (150°C). 2. Season ribs with salt, pepper, and your favorite BBQ rub. 3. Wrap the ribs in aluminum foil and bake for 2.5 hours. 4. Remove the ribs from the oven and brush them with BBQ sauce. 5. Grill the ribs on high heat for 5-10 minutes, turning and basting them with more BBQ sauce. 6. Serve with coleslaw and cornbread.",static/ribsbbq.jpg
20,Roast Vegetables,40,4,"1. Preheat the oven to 400°F (200°C). 2. Cut vegetables such as carrots, potatoes, bell peppers, and zucchini into bite-sized pieces. 3. Toss the vegetables with olive oil, salt, pepper, and your favorite herbs (like rosemary or thyme). 4. Spread the vegetables evenly on a baking sheet and roast for 30-40 minutes, stirring halfway through. 5. Serve as a side dish or over a bed of quinoa or rice.",static/roast-vegetables.jpg
21,Chicken Tenders,25,4,"1. Preheat the oven to 400°F (200°C). 2. Season chicken tenders with salt, pepper, and garlic powder. 3. Coat the chicken tenders in flour, dip in beaten eggs, then coat with breadcrumbs. 4. Place the tenders on a baking sheet and bake for 15-20 minutes, flipping halfway through, until golden brown and cooked through. 5. Serve with honey mustard or ketchup for dipping.",static/chicken-tenders.jpg
22,Fried Rice,20,4,"1. In a large skillet or wok, heat oil over medium-high heat. 2. Add diced onions, garlic, and peas, and sauté until tender. 3. Push the veggies to the side, add scrambled eggs, and cook until set. 4. Stir in cold, day-old rice and soy sauce. 5. Cook for 5 minutes, stirring to combine all ingredients. 6. Garnish with chopped green onions and serve as a main or side dish.",static/fried-rice.jpg
23,Steak and Potatoes,30,2,"1. Preheat the oven to 400°F (200°C). 2. Season steak with salt, pepper, and your favorite herbs. 3. In a hot skillet, sear the steak for 3-4 minutes per side. 4. Transfer the skillet to the oven and roast the steak for 5-10 minutes, depending on your desired doneness. 5. Serve with roasted or mashed potatoes and a side of vegetables.",static/steak-potatoes.jpg
24,Spaghetti Carbonara,25,4,"1. Cook spaghetti in salted water according to package instructions. Drain, reserving 1 cup of pasta water. 2. In a skillet, cook pancetta or bacon until crispy. 3. Whisk together eggs, Parmesan cheese, salt, and pepper. 4. Toss the cooked spaghetti with the pancetta and egg mixture, adding reserved pasta water until the sauce reaches your desired consistency. 5. Serve with extra cheese and black pepper.",static/spaghetti-carbonara.jpg
25,Grilled Salmon,25,4,"1. Preheat the grill to medium-high heat. 2. Season salmon fillets with salt, pepper, and a drizzle of olive oil. 3. Grill the salmon for 4-5 minutes per side, or until cooked to your liking. 4. Serve with lemon wedges and a side of steamed vegetables or rice.",static/grilled-salmon.jpg
26,Beef Burritos,30,4,"1. Brown ground beef in a skillet, seasoning with taco seasoning and salt. 2. Warm flour tortillas in a skillet or microwave. 3. Fill each tortilla with the cooked beef, rice, beans, cheese, and any desired toppings like lettuce, sour cream, and salsa. 4. Fold the tortillas into burritos and serve with a side of guacamole and chips.",static/beef-burritos.jpg
27,Chicken Fajitas,30,4,"1. Slice chicken breasts into strips and season with fajita seasoning. 2. In a skillet, heat oil and cook the chicken until browned and cooked through. 3. Remove the chicken and cook sliced bell peppers and onions until tender. 4. Warm flour tortillas and assemble the fajitas by filling with chicken, peppers, onions, and your favorite toppings such as sour cream, salsa, and guacamole. 5. Serve with lime wedges.",static/chicken-fajitas.jpg
28,Pork Schnitzel,40,4,"1. Flatten pork chops with a meat mallet to about 1/4-inch thickness. 2. Season with salt and pepper, then dredge in flour, dip in beaten eggs, and coat with breadcrumbs. 3. In a large skillet, heat oil over medium-high heat and fry the schnitzels until golden brown and cooked through, about 3-4 minutes per side. 4. Serve with lemon wedges and mashed potatoes or a side salad.",static/pork-schnitzel.jpg
29,Chicken Soup,40,4,"1. In a large pot, sauté onions, carrots, and celery in olive oil until tender. 2. Add chicken broth and bring to a boil. 3. Stir in diced chicken, noodles, and herbs. 4. Simmer for 20-30 minutes, until the chicken is cooked through and the noodles are tender. 5. Season with salt and pepper to taste. 6. Serve hot with crackers or crusty bread.",static/chicken-soup.jpg
30,Lasagna,90,6,"1. Preheat the oven to 375°F (190°C). 2. In a skillet, cook ground beef and onions until browned. Stir in marinara sauce and let simmer for 20 minutes. 3. Cook lasagna noodles according to package instructions. 4. Layer lasagna in a baking dish, alternating between noodles, meat sauce, ricotta cheese, and shredded mozzarella. 5. Repeat the layers and finish with mozzarella on top. 6. Cover with foil and bake for 40 minutes. Remove the foil and bake for another 10-15 minutes until bubbly and golden. 7. Serve hot with a side salad.",static/lasagna.jpg
